Chapter,Title,First official page #,Last page #,Real page start,Real page end
,TOC_Preface,,,1,36
1,Introduction,1,2,37,38
2,Probability,3,62,39,98
3,Statistics,63,124,99,160
4,Probabilistic graphical models,125,184,161,220
5,Information theory,185,220,221,256
6,Optimization,221,300,257,336
7,Inference algorithms overview,301,314,337,350
8,State-space inference,315,368,351,404
9,Message passing inference,369,400,405,436
10,Variational inference,401,450,437,486
11,Monte Carlo inference,451,466,487,502
12,Markov Chain Monte Carlo inference,467,516,503,552
13,Sequential Monte Carlo inference,517,552,553,588
14,Predictive models overview,553,570,589,606
15,Generalized linear models,571,602,607,638
16,Deep neural networks,603,624,639,660
17,Bayesian neural networks,625,658,661,694
18,Gaussian processes,659,716,695,752
19,Structured prediction,717,738,753,774
20,Beyond the iid assumption,739,774,775,810
21,Generative models overview,775,790,811,826
22,Variational autoencoders,791,834,827,870
23,Auto-regressive models,835,842,871,878
24,Normalizing Flows,843,862,879,898
25,Energy-based models,863,882,899,918
26,Denoising diffusion models,883,890,919,926
27,Generative adversarial networks,891,922,927,958
28,Discovery methods overview,923,926,959,962
29,Latent variable models,927,966,963,1002
30,Hidden Markov models,967,996,1003,1032
31,State-space models,997,1022,1033,1058
32,Graph learning,1023,1032,1059,1068
33,Non-parametric Bayesian models,1033,1064,1069,1100
34,Representation learning (Unfinished),1065,1066,1101,1102
35,Interpretability,1067,1100,1103,1136
36,Multi-step decision problems,1101,1128,1137,1164
37,Reinforcement learning,1129,1166,1165,1202
38,Causality,1167,1216,1203,1252
39,Index,1217,1228,1253,1264
40,Bibliography,1229,1312,1265,1348
